Item ID,Title,Category ID,Category Name,Price,Currency,Condition,Location,Shipping Cost,Shipping Type,URL
255020221191,Samsung Galaxy S21 Ultra 5G 128GB G998U Unlocked - Excellent,['9355'],['Cell Phones & Smartphones'],264.99,USD,['Excellent - Refurbished'],"Astoria,NY,USA",0.0,Free,https://www.ebay.com/itm/Samsung-Galaxy-S21-Ultra-5G-128GB-G998U-Unlocked-Excellent-/255020221191?var=0
356334049452,BRAND NEW Samsung Galaxy A15 5G - 64GB - Black (T-Mobile) ONLY,['9355'],['Cell Phones & Smartphones'],99.99,USD,['New'],"Clifton,NJ,USA",0.0,Free,https://www.ebay.com/itm/BRAND-NEW-Samsung-Galaxy-A15-5G-64GB-Black-T-Mobile-ONLY-/356334049452
324736594273,SanDisk Micro SD Card 16GB 32GB 64GB 128GB TF Class 10 for Smartphones Tablets ,['96991'],['Memory Cards'],5.2,USD,['New'],"Fort Lauderdale,FL,USA",0.0,Free,https://www.ebay.com/itm/SanDisk-Micro-SD-Card-16GB-32GB-64GB-128GB-TF-Class-10-Smartphones-Tablets-/324736594273?var=513742291155
267047868800,"Motorola Moto Edge 5G 2022 XT2205-1 128GB T-Mobile/Unlocked, Excellent - Read",['9355'],['Cell Phones & Smartphones'],86.99,USD,['Used'],"Coppell,TX,USA",0.0,Free,https://www.ebay.com/itm/Motorola-Moto-Edge-5G-2022-XT2205-1-128GB-T-Mobile-Unlocked-Excellent-Read-/267047868800?var=566794574210
145779795771,Samsung Galaxy A51 Fully Unlocked Prism Cube 128GB,['9355'],['Cell Phones & Smartphones'],85.0,USD,['Good - Refurbished'],"Linden,NJ,USA",0.0,Free,https://www.ebay.com/itm/Samsung-Galaxy-A51-Fully-Unlocked-Prism-Cube-128GB-/145779795771?var=444875319611
256511425369,Google Pixel 6 | 6a | 6 Pro - 128 GB (Unlocked) AT&T Metro T-Mobile Verizon,['9355'],['Cell Phones & Smartphones'],149.95,USD,['Very Good - Refurbished'],"Spartanburg,SC,USA",0.0,Free,https://www.ebay.com/itm/Google-Pixel-6-6a-6-Pro-128-GB-Unlocked-AT-T-Metro-T-Mobile-Verizon-/256511425369?var=0
255883394766,Samsung Galaxy S21 Ultra 5G 128GB G998U Unlocked - Good,['9355'],['Cell Phones & Smartphones'],232.99,USD,['Good - Refurbished'],"Astoria,NY,USA",0.0,Free,https://www.ebay.com/itm/Samsung-Galaxy-S21-Ultra-5G-128GB-G998U-Unlocked-Good-/255883394766?var=0
125654714303,Apple iPhone 5s - 16/32/64GB - ALL COLORS Unlocked/AT&T/T-Mobile A1453,['9355'],['Cell Phones & Smartphones'],32.99,USD,['Used'],"Lakewood,NJ,USA",0.0,Free,https://www.ebay.com/itm/Apple-iPhone-5s-16-32-64GB-ALL-COLORS-Unlocked-AT-T-T-Mobile-A1453-/125654714303?var=0
256271899020,Samsung Galaxy Z Fold4 512GB F936U Unlocked - Excellent,['9355'],['Cell Phones & Smartphones'],469.99,USD,['Excellent - Refurbished'],"Astoria,NY,USA",0.0,Free,https://www.ebay.com/itm/Samsung-Galaxy-Z-Fold4-512GB-F936U-Unlocked-Excellent-/256271899020?var=556305007020
315977338590,Samsung Galaxy S20 FE 5G - 128GB - Unlocked SIM - Fully Working - Great! 🎄🎁,['9355'],['Cell Phones & Smartphones'],132.5,USD,['Used'],"Lititz,PA,USA",0.0,Free,https://www.ebay.com/itm/Samsung-Galaxy-S20-FE-5G-128GB-Unlocked-SIM-Fully-Working-Great-/315977338590
